Record,Sample_ID,depth mbsf,age_tuned,tuning target,age model source,benthic d13C VPDB,benthic d18O VPDB,benthic Species,benthic Source,benthic d13C VPDB Corr,benthic d18O VPDB Corr,IsotopeCorrNote,benthic d13C VPDB CorrAdjusted,benthic d18O VPDB CorrAdjusted,benthic_CorrAdjusted_Note,benthic d13C smoothLoess10,benthic d18O smoothLoess10
U1490,"353-U1490A-26H-3,52-54",235.72,15.556,E+T+0.2P,Holbourn et al. 2024,1.45,1.502,CMUND,Holbourn et al. 2024,1.45,2.142,d18O +0.64‰; d13C +0.00‰,1.25,2.242,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,56-58",235.76,15.56,E+T+0.2P,Holbourn et al. 2024,1.57,1.524,CMUND,Holbourn et al. 2024,1.57,2.164,d18O +0.64‰; d13C +0.00‰,1.37,2.264,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,60-62",235.8,15.564,E+T+0.2P,Holbourn et al. 2024,1.46,1.442,CMUND,Holbourn et al. 2024,1.46,2.082,d18O +0.64‰; d13C +0.00‰,1.26,2.182,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,64-66",235.84,15.569,E+T+0.2P,Holbourn et al. 2024,1.41,1.322,CMUND,Holbourn et al. 2024,1.41,1.962,d18O +0.64‰; d13C +0.00‰,1.21,2.062,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,68-70",235.88,15.573,E+T+0.2P,Holbourn et al. 2024,1.29,1.051,CMUND,Holbourn et al. 2024,1.29,1.691,d18O +0.64‰; d13C +0.00‰,1.09,1.791,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,72-74",235.92,15.577,E+T+0.2P,Holbourn et al. 2024,1.25,1.064,CMUND,Holbourn et al. 2024,1.25,1.704,d18O +0.64‰; d13C +0.00‰,1.05,1.804,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,76-78",235.96,15.581,E+T+0.2P,Holbourn et al. 2024,1.02,0.805,CMUND,Holbourn et al. 2024,1.02,1.445,d18O +0.64‰; d13C +0.00‰,0.82,1.545,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,80-82",236,15.585,E+T+0.2P,Holbourn et al. 2024,1.39,0.946,CMUND,Holbourn et al. 2024,1.39,1.586,d18O +0.64‰; d13C +0.00‰,1.19,1.686,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,84-86",236.04,15.589,E+T+0.2P,Holbourn et al. 2024,0.98,0.641,CMUND,Holbourn et al. 2024,0.98,1.281,d18O +0.64‰; d13C +0.00‰,0.78,1.381,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-3,88-90",236.08,15.593,E+T+0.2P,Holbourn et al. 2024,0.86,0.571,CMUND,Holbourn et al. 2024,0.86,1.211,d18O +0.64‰; d13C +0.00‰,0.66,1.311,d18O +0.10‰; d13C -0.20‰,,
