Time_Ma,d13C,d18O
0.000564,-0.8,3.52
0.002689,0.43,3.57
0.003099,-0.07,3.56
0.004131,-1.22,3.51
0.005134,0.23,3.7
0.005617,-0.32,3.91
0.005917,0.23,3.81
0.007103,-0.52,3.83
0.007579,-0.28,4.23
0.008589,-0.14,3.82
0.010024,-0.69,4.71
0.010076,-0.92,5.14
0.011553,-0.72,4.82
0.012469,-0.67,4.82
0.013048,-1.25,5.22
0.014006,-0.69,5.38
0.014914,-0.88,5.46
0.015196,-0.86,5.25
0.015414,-0.52,5.39
0.016821,-0.73,5.35
0.017359,-0.72,5.34
0.017785,-0.98,5.19
0.018229,-0.63,5.3
0.019636,-0.68,5.22
0.019804,-0.59,5.13
0.020375,-0.8,5.09
0.022249,-0.64,5.12
0.022964,-0.85,4.98
0.023859,-0.52,5.03
0.024626,-0.65,5.07
0.024969,-1.03,4.97
0.02575,-0.46,4.94
0.026585,-0.71,4.94
0.026833,-0.21,4.87
0.027694,-0.48,4.97
0.0282,-0.75,4.89
0.02904,-0.28,5.03
0.029815,-0.67,4.92
0.031246,-0.2,4.79
0.031431,-0.69,4.84
0.031583,-0.19,4.87
0.033046,-0.55,4.81
0.033453,-0.12,4.83
0.033528,0,4.85
0.034662,-0.83,4.86
0.035472,-0.18,4.65
0.036277,-0.73,4.82
0.037892,-0.46,4.79
0.039361,-0.32,4.78
0.039508,-0.32,4.72
0.040074,-0.45,4.78
0.041123,-0.63,4.93
0.041306,-0.5,4.86
0.042281,-0.04,4.73
0.042738,-0.24,4.72
0.04325,-0.28,4.74
0.044354,-0.95,4.65
0.044487,-0.49,4.45
0.045181,-0.54,4.61
0.04604,-0.74,4.6
0.046625,-0.04,4.89
0.046758,0.02,4.79
0.047773,-0.75,4.61
0.048431,-0.1,4.85
0.049049,-0.11,4.57
0.049507,-0.31,4.76
0.050236,-0.01,4.86
0.05124,-1.07,4.9
0.051339,-0.4,4.54
0.052042,0.15,4.73
0.052973,-0.45,4.75
0.053629,-0.15,4.73
0.053847,-0.17,4.46
0.054707,-0.86,4.65
0.055111,-0.53,4.67
0.05592,-0.65,4.74
0.05644,-0.7,4.75
0.057458,-0.55,4.75
0.058173,-0.7,4.8
0.05821,-0.81,4.67
0.059264,-1.25,4.8
0.059907,-1.04,4.85
0.0605,-0.95,4.98
0.061069,-0.67,5.11
0.06164,-1.18,4.72
0.06279,-0.79,4.97
0.062875,-1.06,4.97
0.063373,-1.08,4.81
0.064681,-0.98,5.01
0.065081,-1.01,4.92
0.066486,-0.98,5.02
0.067371,-0.52,4.77
0.069093,-0.44,4.82
0.069432,-0.68,4.56
0.070097,-0.5,4.65
0.070827,-0.82,4.6
0.072533,0.18,4.41
0.072683,-0.6,4.52
0.073409,-1.21,4.5
0.0756,0.23,4.44
0.076085,-0.09,4.44
0.076735,0.12,4.23
0.078667,-0.38,4.37
0.078761,-0.48,4.23
0.080787,0.16,4.29
0.081438,-0.17,4.12
0.081733,0.12,4.36
0.084114,-0.14,4.22
0.0848,0.13,3.93
0.08484,0.28,4.21
0.086791,-0.6,4.24
0.087867,-0.56,4.09
0.088892,-1.18,4.51
0.090933,-0.59,4.68
0.094,-0.3,4.42
0.095583,-0.45,4.59
0.095856,0.21,4.32
0.096118,0.22,4.48
0.098055,-0.22,4.5
0.098236,0.17,4.19
0.100526,-0.49,4.34
0.102472,0.15,4.11
0.102998,-0.2,4.21
0.103389,0.17,4.01
0.105516,-0.11,4.1
0.105987,0,3.98
0.108225,-0.9,4.13
0.10874,-0.58,4.07
0.109195,-0.17,4.36
0.110935,-0.23,4.13
0.111493,-1.14,4.34
0.111517,-0.21,4.31
0.113645,-0.78,4.39
0.113839,-0.73,4.61
0.116064,-0.37,4.62
0.116193,-0.71,4.28
0.116957,-0.18,4.42
0.118191,-0.31,4.37
0.120318,-0.21,4.43
0.120395,0.01,4.12
0.120963,-0.47,4.58
0.122446,-0.08,3.81
0.123348,-0.44,4.21
0.123521,0.05,3.93
0.124573,-0.03,3.32
0.125733,-0.07,3.89
0.126646,-0.55,3.43
0.1267,-0.79,3.83
0.127737,-0.12,3.41
0.127844,-0.44,3.58
0.128822,-0.14,3.21
0.12947,-0.64,3.74
0.129643,0,3.52
0.130746,-0.74,4.28
0.131443,-0.88,3.55
0.13267,-0.84,4.23
0.132935,-0.82,4.99
0.133242,-1.4,4.81
0.134554,-0.82,5.16
0.134668,-0.43,5.32
0.135041,-1.17,5.21
0.136371,-0.4,5.24
0.138188,-0.69,5.2
0.14009,-0.72,5.3
0.141717,-0.78,5.19
0.142062,-0.67,5.07
0.14289,-1.53,5.18
0.144034,-0.71,5.19
0.146006,-0.79,4.98
0.146824,-1.29,5
0.14715,-0.89,5.11
0.147978,-1.48,4.79
0.148432,-1.43,4.96
0.148961,-1.37,4.97
0.149753,-1.06,4.92
0.150772,-1.23,5.1
0.152934,-1.09,4.73
0.153893,-0.87,5.1
0.154703,-1.19,5.03
0.155865,-0.2,4.9
0.156205,-0.82,5.12
0.15631,-1.15,4.82
0.157837,-0.35,4.77
0.158016,-0.46,4.79
0.159809,-0.92,4.99
0.160214,-1.03,4.71
0.161781,-0.76,4.85
0.162485,-1.09,4.77
0.164911,-1.85,4.8
0.167083,-0.18,4.82
0.167336,-0.76,4.62
0.168899,-0.52,4.64
0.169762,-1.19,4.69
0.170714,-0.47,4.63
0.172187,-1.15,4.72
0.174345,-0.78,4.96
0.174613,-1.33,4.54
0.176161,-0.44,4.85
0.177038,-1.24,4.7
0.179464,-1.06,4.86
0.179792,-0.22,4.69
0.181889,-0.96,4.91
0.185238,-0.74,4.9
0.18674,-1.23,4.77
0.188869,-0.45,4.66
0.190685,-0.06,4.1
0.190916,-0.09,4.36
0.191591,-0.43,4.12
0.193629,0.05,3.9
0.194017,-0.68,4.21
0.1962,0.05,3.92
0.196418,-1.46,4.04
0.198682,-0.26,3.83
0.19888,0.13,4
0.201169,-0.98,3.89
0.201612,-0.06,3.69
0.201813,0.04,3.69
0.203656,-0.47,3.97
0.204747,-0.08,4.01
0.207706,0.14,3.94
0.208382,0.01,3.98
0.210904,0.19,3.92
0.214857,-0.15,4.1
0.217298,0.04,3.74
0.217845,-0.17,4.1
0.218334,-0.06,3.69
0.220413,-0.32,3.78
0.220637,-0.93,3.85
0.220695,-0.43,3.81
0.223078,-0.92,4.09
0.223185,-0.44,3.94
0.225675,-0.62,3.97
0.225742,-0.67,4.85
0.228165,-1.19,4.68
0.228902,-0.09,4.54
0.231083,-0.07,4.69
0.233378,-0.78,4.28
0.234197,-0.69,4.55
0.235793,-0.88,4.62
0.237348,-0.33,4.63
0.238232,-0.13,4.21
0.238913,-1.3,4.14
0.240829,0,4.1
0.241303,-0.5,4.18
0.243105,-0.75,3.69
0.243455,-1.1,3.84
0.243859,-0.04,3.51
0.245024,-0.86,4.29
0.246143,-1.04,3.78
0.246593,-1.18,4.67
0.248427,-0.64,4.7
0.250711,-0.54,4.56
0.251938,-0.59,4.93
0.252712,-0.32,4.98
0.254163,-0.71,4.97
0.255772,-0.7,4.93
0.256403,-0.75,4.87
0.256859,-0.37,4.89
0.257718,-0.16,5.07
0.257757,-0.26,4.71
0.258643,-0.69,4.91
0.25928,-0.33,4.89
0.260098,-0.34,4.75
0.260883,-0.89,4.72
0.2617,-0.27,4.72
0.261728,-0.32,4.87
0.262238,-0.91,4.67
0.263123,-1.17,4.8
0.263713,-1.18,4.81
0.264123,-0.44,4.82
0.264856,-0.33,4.8
0.265363,-1.07,4.84
0.266543,-1.25,4.75
0.267236,-1.27,4.94
0.267603,-1.01,4.83
0.267684,-1.29,4.64
0.268862,-1.25,4.95
0.269589,-1.36,4.84
0.269669,-1.41,4.96
0.269843,-1.74,4.86
0.271013,-1.24,4.92
0.273162,-1.07,4.77
0.273588,-1.68,4.8
0.27364,-1.3,4.85
0.274167,-1.02,4.96
0.275312,-1.04,4.86
0.277461,-0.89,4.69
0.278618,-1.42,4.89
0.284576,-0.03,4.48
0.288392,-0.82,4.3
0.289424,-0.65,4.23
0.290867,-1.12,4.53
0.291849,-0.19,3.94
0.293342,-1.02,4.54
0.294273,-0.86,4.29
0.295817,-1.05,4.48
0.296697,-0.88,4.86
0.298045,-0.52,4.79
0.300765,-1.03,4.5
0.301545,-0.42,4.73
0.303346,0.1,4.6
0.306918,0,4.67
0.309175,0.15,4.36
0.311748,-0.92,4.2
0.313707,-1.14,4.68
0.316893,-0.87,4.3
0.318469,-0.36,3.92
0.319466,-0.16,4.17
0.32085,-0.32,3.98
0.322039,-0.42,3.96
0.32329,-0.7,4.12
0.326281,0.21,3.55
0.32862,0.07,3.58
0.329274,0.2,3.6
0.332267,-0.16,3.46
0.334689,-0.31,3.24
0.335669,-0.1,3.39
0.336905,-1.06,3.36
0.3389,-1.75,4.17
0.343553,-0.96,4.99
0.345767,-0.52,5.2
0.348168,-1.08,4.42
0.350591,-0.36,4.82
0.350594,-1.06,5.2
0.352683,-1.33,4.76
0.353014,-1.17,4.83
0.354771,-0.64,4.96
0.355437,-1.19,4.78
0.356859,-1.14,4.76
0.35786,-1.1,4.91
0.361036,-1.33,4.88
0.365126,-0.6,4.83
0.365213,-1.08,5.01
0.367549,-0.3,4.78
0.369971,-0.37,4.67
0.372394,-0.73,4.71
0.373566,-0.42,4.87
0.374575,-0.25,4.61
0.375655,-0.68,4.75
0.376133,-1.08,4.65
0.37724,-0.42,4.55
0.377743,-0.25,4.5
0.378919,-0.62,4.58
0.379663,-0.27,4.35
0.379831,-0.81,4.57
0.382086,-0.63,4.68
0.38449,-0.71,4.58
0.384506,-0.1,4.22
0.386929,-0.07,4.6
0.387276,-0.48,4.42
0.389352,-0.04,4.25
0.390273,0.1,4.2
0.390356,-0.06,4.35
0.391775,-0.08,4.31
0.392361,0.06,4.33
0.394197,0.1,4.24
0.39662,0.03,4.08
0.398716,-1.3,4.32
0.399116,-0.67,4.16
0.399351,-0.45,4.14
0.399908,-0.17,4.1
0.402313,0.25,3.74
0.404678,0.34,3.32
0.40523,0.18,3.95
0.407063,0.3,3.42
0.408143,0.08,3.34
0.408643,-0.44,4.04
0.409296,0.15,3.46
0.410063,0.04,3.35
0.41087,0.21,3.43
0.411344,0.32,3.32
0.41285,-0.7,3.87
0.41291,-0.09,3.71
0.414333,-0.16,3.91
0.414893,-0.17,3.49
0.415592,-1.37,5.04
0.416416,-0.8,4.29
0.416936,-0.46,3.98
0.417167,-1.34,5.17
0.418741,-1.25,5.41
0.418849,0.12,3.59
0.418979,-1.55,4.09
0.421039,-0.34,4.17
0.422268,-1.84,5.09
0.422704,-0.07,4.24
0.423008,-1.03,5.5
0.423034,-1.11,5.26
0.423543,-1.13,5.46
0.42378,-1.71,5.34
0.423979,-1.25,5.23
0.424799,-1.52,5.26
0.425218,-1.22,5.4
0.425292,-1.77,5.33
0.425678,-1.18,5.33
0.425793,-1.17,5.32
0.426308,-0.89,5.21
