DEPT,GR
176.022,4.080376
176.1744,4.466824
176.3268,5.231133
176.4792,6.550102
176.6316,6.12101
176.784,5.168915
176.9364,4.267986
177.0888,4.377514
177.2412,5.336468
177.3936,5.483887
177.546,5.195755
177.6984,5.261742
177.8508,6.477997
178.0032,6.88834
178.1556,5.914173
178.308,5.545036
178.4604,5.663723
178.6128,4.521481
178.7652,3.761419
178.9176,3.856815
179.07,3.856333
179.2224,3.831161
179.3748,4.11195
179.5272,4.662914
179.6796,5.618706
179.832,6.465343
179.9844,6.698441
180.1368,6.554558
180.2892,5.814873
180.4416,5.713306
180.594,5.680717
180.7464,4.967525
180.8988,4.457153
181.0512,5.160973
181.2036,5.330658
181.356,5.105888
181.5084,5.014996
181.6608,5.393616
181.8132,5.806019
181.9656,5.827591
182.118,5.892437
182.2704,5.98996
182.4228,6.088024
182.5752,6.219116
182.7276,6.341881
182.88,6.122108
183.0324,5.714554
183.1848,5.226746
183.3372,5.240791
183.4896,6.218975
183.642,7.039925
183.7944,7.939709
183.9468,8.490524
184.0992,8.580627
184.2516,7.467098
184.404,7.094917
184.5564,7.662647
184.7088,7.289162
184.8612,6.038929
185.0136,6.1315
185.166,5.475075
185.3184,4.833351
185.4708,4.252876
185.6232,4.68169
185.7756,5.438057
185.928,5.506317
186.0804,5.691833
186.2328,6.092758
186.3852,5.742222
186.5376,5.317043
186.69,5.318981
186.8424,6.163929
186.9948,8.312973
187.1472,7.502113
187.2996,6.647034
187.452,7.112129
187.6044,7.107002
187.7568,6.764252
187.9092,6.17461
188.0616,6.028187
188.214,6.267155
188.3664,6.360348
188.5188,6.022945
188.6712,6.022846
188.8236,6.841354
188.976,6.740742
189.1284,7.333832
189.2808,8.386803
189.4332,10.16421
189.5856,8.894882
189.738,7.198914
189.8904,6.717205
190.0428,5.789234
190.1952,6.079536
190.3476,6.236496
190.5,6.049435
190.6524,6.255089
190.8048,6.199295
190.9572,6.320946
191.1096,7.742714
191.262,7.808887
191.4144,6.889732
191.5668,7.054352
191.7192,6.897984
191.8716,6.830521
192.024,6.621811
192.1764,6.356377
192.3288,5.614319
192.4812,5.862057
192.6336,7.694641
192.786,8.249657
192.9384,6.996815
193.0908,6.752316
193.2432,6.889244
193.3956,6.748756
193.548,6.585617
193.7004,6.712547
193.8528,6.72221
194.0052,6.072643
194.1576,5.597939
194.31,5.457783
194.4624,4.907158
194.6148,4.914543
194.7672,5.133183
194.9196,5.394089
195.072,5.756428
195.2244,6.230885
195.3768,6.307735
195.5292,6.225231
195.6816,6.026905
195.834,6.456219
195.9864,6.674206
196.1388,7.011959
196.2912,7.416458
196.4436,7.496067
196.596,7.877163
196.7484,8.099792
196.9008,8.454666
197.0532,8.288177
197.2056,7.748508
197.358,6.948833
197.5104,5.965466
197.6628,5.810513
197.8152,5.659103
197.9676,6.664215
198.12,7.608894
198.2724,7.289761
198.4248,7.657005
198.5772,7.451828
198.7296,7.377106
198.882,7.205315
199.0344,6.747936
199.1868,6.19622
199.3392,5.442322
199.4916,5.12804
199.644,6.447098
199.7964,7.009842
199.9488,7.426922
200.1012,6.979179
200.2536,6.077435
200.406,5.928493
200.5584,6.375732
200.7108,6.110607
200.8632,5.31496
201.0156,5.723415
201.168,6.293915
201.3204,7.119747
201.4728,8.589638
201.6252,9.529243
201.7776,9.620338
201.93,9.568642
202.0824,11.53799
202.2348,12.63622
202.3872,11.14491
202.5396,11.23264
202.692,11.46829
202.8444,11.06837
202.9968,10.5755
203.1492,10.29362
203.3016,10.61906
203.454,9.795837
203.6064,9.0821
203.7588,9.871254
203.9112,10.22517
204.0636,8.668953
204.216,8.302734
204.3684,8.506393
204.5208,10.4583
204.6732,11.43638
204.8256,11.68786
204.978,11.84182
205.1304,12.35577
205.2828,12.53689
205.4352,12.68784
205.5876,12.86512
205.74,12.52493
205.8924,12.09805
206.0448,11.34744
206.1972,9.409264
206.3496,9.012444
206.502,8.779907
206.8068,7.480022
206.9592,7.146805
207.1116,8.449173
207.264,9.016266
207.4164,9.368858
207.5688,9.389015
207.7212,9.473854
207.8736,9.871277
208.026,10.3548
208.1784,12.19011
208.3308,14.11441
208.4832,13.66303
208.6356,12.60647
208.788,12.91331
208.9404,11.82167
209.0928,10.21732
209.2452,9.008896
209.3976,10.06763
209.55,9.957726
209.7024,10.41921
209.8548,11.15517
210.0072,12.12312
210.1596,12.69834
210.312,13.04626
210.4644,13.09328
210.6168,13.86884
210.7692,14.12896
210.9216,13.17781
211.074,11.45862
211.2264,10.47698
211.3788,9.916885
211.5312,9.946022
211.6836,10.77331
211.836,11.38467
211.9884,11.6276
212.1408,10.63402
212.2932,9.319298
212.4456,9.046227
212.598,8.508034
212.7504,7.255375
212.9028,8.64473
213.0552,11.37357
213.2076,12.8867
213.36,13.00281
213.5124,11.96609
213.6648,10.92839
213.8172,9.919472
213.9696,8.664757
214.122,7.798996
214.2744,8.829666
214.4268,9.1623
214.5792,8.934479
214.7316,9.057648
214.884,10.54348
215.0364,11.57252
215.1888,11.71383
215.3412,11.67904
215.4936,11.87697
215.646,12.28422
215.7984,12.67529
215.9508,13.15263
216.1032,13.53427
216.2556,13.3791
216.408,13.35515
216.5604,13.27823
216.7128,13.2654
216.8652,13.29418
217.0176,13.25631
217.17,12.8196
217.3224,12.31095
217.4748,11.39647
217.6272,11.07507
217.7796,11.21036
217.932,10.44263
218.0844,8.935417
218.2368,8.493416
218.3892,10.27545
218.5416,11.45537
218.694,12.65105
218.8464,14.33688
218.9988,14.93185
219.1512,14.01004
219.3036,12.59496
219.456,12.26245
219.6084,12.41809
219.7608,12.67394
219.9132,12.87681
220.0656,12.59914
220.218,12.7657
220.3704,14.80811
220.5228,15.0574
220.6752,14.15445
220.8276,12.64205
220.98,12.03458
221.1324,12.09132
221.2848,11.84637
221.4372,12.18614
221.5896,12.53012
221.742,11.90086
221.8944,11.13085
222.0468,10.40966
222.1992,9.709572
