DEPT,GR
137.6172,7.985146
137.7696,8.233719
137.922,8.397316
138.0744,8.486679
138.2268,8.170204
138.3792,7.662518
138.5316,8.289299
138.684,8.451439
138.8364,8.15258
138.9888,7.510937
139.1412,7.222149
139.2936,7.144791
139.446,7.742531
139.5984,8.425537
139.7508,8.492897
139.9032,9.109093
140.0556,9.24247
140.208,9.149635
140.3604,8.772011
140.5128,8.07547
140.6652,7.465172
140.8176,7.046539
140.97,6.848228
141.1224,6.814884
141.2748,7.076958
141.4272,7.607731
141.5796,7.60976
141.732,7.874577
141.8844,7.837566
142.0368,7.28326
142.1892,6.655357
142.3416,6.337936
142.494,6.442108
142.6464,7.143581
142.7988,7.878719
142.9512,8.324226
143.1036,8.537857
143.256,8.342903
143.4084,7.829311
143.5608,7.189102
143.7132,6.778645
143.8656,7.079472
144.018,7.385296
144.1704,7.359028
144.3228,7.015038
144.4752,7.259529
144.6276,7.928917
144.78,8.129646
144.9324,7.842266
145.0848,7.140625
145.2372,6.838795
145.3896,6.795387
145.542,6.278278
145.6944,5.948158
145.8468,6.112762
145.9992,6.575657
146.1516,6.694916
146.304,6.035446
146.4564,5.697445
146.6088,5.506172
146.7612,5.496517
146.9136,6.430672
147.066,6.969238
147.2184,7.426353
147.3708,7.355415
147.5232,6.701412
147.6756,5.933975
147.828,5.420662
147.9804,5.327538
148.1328,5.310284
148.2852,5.337711
148.4376,5.510731
148.59,5.510696
148.7424,5.542385
148.8948,5.56522
149.0472,5.771591
149.1996,6.64957
149.352,7.606709
149.5044,7.946716
149.6568,7.406876
149.8092,7.17049
149.9616,7.874844
150.114,7.884678
150.2664,7.334538
150.4188,7.774498
150.5712,7.175289
150.7236,6.931873
150.876,7.157463
151.0284,7.085949
151.1808,6.64513
151.3332,5.846985
151.4856,5.511345
151.638,6.495598
151.7904,7.368198
151.9428,7.780514
152.0952,7.65839
152.2476,6.846188
152.4,6.58212
152.5524,6.845757
152.7048,7.240741
152.8572,7.367457
153.0096,7.33704
153.162,7.122205
153.3144,6.49158
153.4668,6.387316
153.6192,6.873137
153.7716,7.491064
153.924,7.678617
154.0764,7.95061
154.2288,7.413888
154.3812,7.180578
154.5336,7.771953
154.686,8.176754
154.8384,8.107952
154.9908,7.764989
155.1432,8.019077
155.2956,8.390585
155.448,8.371367
155.6004,8.069273
155.7528,8.732559
155.9052,9.119137
156.0576,9.022905
156.21,8.470493
156.3624,8.655663
156.5148,8.114489
156.6672,7.765237
156.8196,8.476402
156.972,9.16169
157.1244,9.451118
157.2768,9.077505
157.4292,9.846392
157.5816,10.5753
157.734,10.62931
157.8864,11.14306
158.0388,9.913685
158.1912,8.363308
158.3436,7.834963
158.496,8.008055
158.6484,7.617198
158.8008,7.189323
158.9532,7.514922
159.1056,7.39199
159.258,6.776872
159.4104,6.780176
159.5628,7.91223
159.7152,8.861111
159.8676,9.337978
160.02,8.945299
160.1724,8.718437
160.3248,10.24778
160.4772,11.54755
160.6296,12.46941
160.782,12.80766
160.9344,12.05629
161.0868,11.50947
161.2392,11.92726
161.3916,11.80504
161.544,10.90331
161.6964,9.752903
161.8488,8.918232
162.0012,9.23111
162.1536,9.692846
162.306,9.889534
162.4584,9.561892
162.6108,9.070339
162.7632,9.235466
162.9156,9.90731
163.068,10.2916
163.2204,10.3462
163.3728,10.25968
163.5252,9.706436
163.6776,9.824188
163.83,9.690151
163.9824,9.041922
164.1348,9.420578
164.2872,11.04141
164.4396,11.71124
164.592,12.8766
164.7444,14.14497
164.8968,15.13004
165.0492,15.28674
165.2016,14.8941
165.354,15.21828
165.5064,14.74846
165.6588,13.72819
165.8112,12.63486
165.9636,11.94972
166.116,11.92313
166.2684,12.55297
166.4208,13.2259
166.5732,13.51694
166.7256,13.48536
166.878,12.97085
167.0304,12.18492
167.1828,12.36165
167.3352,13.09373
167.4876,13.96296
167.64,15.21474
167.7924,15.8668
167.9448,16.12567
168.0972,16.05151
168.2496,15.42928
168.402,15.33437
168.5544,15.73433
168.7068,15.28606
168.8592,14.41958
169.0116,14.18648
169.164,14.44474
169.3164,15.2916
169.4688,15.31953
169.6212,14.62126
169.7736,13.81309
169.926,13.27115
170.0784,13.00547
170.2308,13.0229
170.3832,13.18118
170.5356,13.66393
170.688,14.96747
170.8404,15.99056
170.9928,15.37338
171.1452,13.91585
171.2976,13.11117
171.45,13.59344
171.6024,13.5401
171.7548,12.85378
171.9072,13.8539
172.0596,15.26296
172.212,15.85588
172.3644,15.895
