Age_Ma,GR_gAPI
2.54,35.83340047
2.541,35.83340047
2.542,35.83340047
2.543,35.83340047
2.544,35.83340047
2.545,35.83340047
2.546,35.83340047
2.547,35.83340047
2.548,35.83340047
2.549,39.06770849
2.55,39.58400403
2.551,40.16996615
2.552,40.8255808
2.553,41.53529209
2.554,42.28378418
2.555,42.80780664
2.556,43.0653872
2.557,43.08369043
2.558,42.86639723
2.559,42.46413443
2.56,41.88145896
2.561,41.21885618
2.562,40.51080026
2.563,39.75729673
2.564,38.98171564
2.565,38.23394726
2.566,37.5139902
2.567,36.99726972
2.568,36.72561585
2.569,36.64925694
2.57,36.52155946
2.571,36.34629318
2.572,36.10912797
2.573,35.87500002
2.574,35.64392136
2.575,35.53501737
2.576,35.62234129
2.577,35.90585206
2.578,36.23192966
2.579,36.4761237
2.58,36.63744897
2.581,36.68217017
2.582,36.61285267
2.583,36.42622043
2.584,35.98504306
2.585,35.28111829
2.586,34.45382844
2.587,33.87684396
2.588,33.55011234
2.589,33.48246761
2.59,33.70004498
2.591,34.20278408
2.592,34.9197964
2.593,35.61443438
2.594,36.10633305
2.595,36.4249103
2.596,36.57978985
2.597,36.5851111
2.598,36.51445872
2.599,36.36785159
2.6,36.24940724
2.601,36.27577294
2.602,36.44691784
2.603,36.7133198
2.604,36.98295662
2.605,37.25583594
2.606,37.40188819
2.607,37.4096054
2.608,37.26965348
2.609,36.84005138
2.61,36.27360708
2.611,35.77057677
2.612,35.39023424
2.613,35.13256165
2.614,34.97791007
2.615,34.8861974
2.616,34.8574105
2.617,34.92732612
2.618,35.05158699
2.619,35.23018799
2.62,35.45027644
2.621,35.69747087
2.622,35.94983213
2.623,36.0899832
2.624,36.13470911
2.625,36.0620007
2.626,35.87767579
2.627,35.58176217
2.628,35.35472354
2.629,35.38129393
2.63,35.66141657
2.631,36.31335195
2.632,37.40319885
2.633,38.93087612
2.634,40.44831949
2.635,41.83525599
2.636,43.08693852
2.637,44.01748636
2.638,44.62337794
2.639,44.94341818
2.64,45.29655531
2.641,45.68278628
2.642,46.08506735
2.643,46.51505025
2.644,46.97273493
2.645,47.32519011
2.646,47.38801854
2.647,47.16128333
2.648,46.6607177
2.649,45.86599362
2.65,44.77716639
2.651,43.73190304
2.652,42.79023687
2.653,41.93844522
2.654,41.20647231
2.655,40.59430098
2.656,40.06708532
2.657,39.52218425
2.658,38.959603
2.659,38.41482907
2.66,37.95806332
2.661,37.74776122
2.662,37.74319975
2.663,37.91026212
2.664,38.24891599
2.665,38.58087461
2.666,38.8566516
2.667,39.07587041
2.668,39.03589321
2.669,38.73526521
2.67,38.21256853
2.671,37.69214746
2.672,37.17400194
2.673,36.70338044
2.674,36.3736791
2.675,36.18486755
2.676,36.07352215
2.677,35.96927961
2.678,35.71365968
2.679,35.37158913
2.68,34.97231777
2.681,34.51585613
2.682,34.16345785
2.683,33.94579075
2.684,33.86268091
2.685,34.03502229
2.686,34.46277909
2.687,35.12818094
2.688,35.94671868
2.689,36.91836487
2.69,37.99141982
2.691,39.06519621
2.692,40.13969405
2.693,41.20102767
2.694,42.22999122
2.695,43.22659223
2.696,44.11067247
2.697,44.84502425
2.698,45.42967457
2.699,45.77803009
2.7,45.87538974
2.701,45.72232974
2.702,45.33858901
2.703,44.72303946
2.704,43.88228737
2.705,42.86829018
2.706,41.68107823
2.707,40.39205855
2.708,39.17205448
2.709,38.02105281
2.71,37.00440242
2.711,36.18109142
2.712,35.55107645
2.713,35.02079539
2.714,34.52498307
2.715,34.06363466
2.716,33.6358099
2.717,33.24443144
2.718,32.889495
2.719,32.73329322
2.72,32.79435468
2.721,33.06243368
2.722,33.42565002
2.723,33.883989
2.724,34.37946931
2.725,34.73672136
2.726,34.95577252
2.727,35.09469411
2.728,35.25825646
2.729,35.44645598
2.73,35.744819
2.731,36.21658648
2.732,36.86172114
2.733,37.61211669
2.734,38.42929707
2.735,39.31325079
2.736,40.05099882
2.737,40.59494981
2.738,40.94644147
2.739,41.2461345
2.74,41.50655905
2.741,41.73971831
2.742,42.05297351
2.743,42.44631287
2.744,42.86530181
2.745,43.1213833
2.746,43.21458834
2.747,43.12554162
2.748,42.81091445
2.749,42.27075471
2.75,41.62761098
2.751,41.01730198
2.752,40.43981945
2.753,40.02703082
2.754,39.84559149
2.755,39.89545808
2.756,40.02165618
2.757,40.1827048
2.758,40.37762397
2.759,40.38497272
2.76,40.16680535
2.761,39.74439151
2.762,39.31568821
2.763,38.88558673
2.764,38.47527518
2.765,38.19354889
2.766,38.04038176
2.767,37.94005611
2.768,37.79353077
2.769,37.60081668
2.77,37.36486789
2.771,37.15216372
2.772,36.96269942
2.773,36.85031105
2.774,36.83124886
2.775,36.5846686
2.776,36.34617316
2.777,36.20662558
2.778,36.1660154
2.779,35.99778908
2.78,35.75395835
2.781,35.81507252
2.782,35.98599956
2.783,36.2358363
2.784,36.56293185
2.785,36.99521591
2.786,37.5356919
2.787,38.13258535
2.788,38.59150458
2.789,38.91247923
2.79,39.10332007
2.791,39.16858969
2.792,39.42913808
2.793,39.78328672
2.794,40.08534484
2.795,40.3353215
2.796,40.73332935
2.797,41.31324832
2.798,41.68928623
2.799,42.00272279
2.8,42.30096061
2.801,42.5839976
2.802,42.82151428
2.803,43.01345962
2.804,43.16325515
2.805,43.3012226
2.806,43.40166445
2.807,43.46603159
2.808,43.43292271
2.809,43.28610544
2.81,43.05889495
2.811,42.85114905
2.812,42.66350521
2.813,42.44518744
2.814,42.30054014
2.815,42.2295558
2.816,42.20964508
2.817,42.17463982
2.818,42.12454633
2.819,42.05648229
2.82,41.97263465
2.821,41.87300745
2.822,41.76709227
2.823,41.57260769
2.824,41.28957227
2.825,41.02318739
2.826,40.8385028
2.827,40.7355083
2.828,40.71215723
2.829,40.77244574
2.83,40.91241091
2.831,40.89727492
2.832,40.70225183
2.833,40.3342966
2.834,39.89477687
2.835,39.40485759
2.836,38.86306274
2.837,38.3737022
2.838,37.96366855
2.839,37.68459196
2.84,37.59203694
2.841,37.67979497
2.842,37.91220097
2.843,38.06445137
2.844,38.13387334
2.845,38.10744107
2.846,37.88043857
2.847,37.45289343
