Time_Ma,GR_gAPI
2.49,35.83340047
2.491,35.83340047
2.492,35.83340047
2.493,35.83340047
2.494,35.83340047
2.495,35.83340047
2.496,38.56146897
2.497,39.76998331
2.498,40.68875687
2.499,41.73380521
2.5,42.67110513
2.501,43.06928659
2.502,42.93441945
2.503,42.37039968
2.504,41.46085024
2.505,40.42889771
2.506,39.30543644
2.507,38.19325404
2.508,37.23990368
2.509,36.72528386
2.51,36.58818423
2.511,36.35467548
2.512,36.0093691
2.513,35.66702923
2.514,35.56766893
2.515,35.86270912
2.516,36.31049644
2.517,36.6044825
2.518,36.66348458
2.519,36.47409565
2.52,35.83201593
2.521,34.70920922
2.522,33.82286222
2.523,33.50687853
2.524,33.75687636
2.525,34.62363914
2.526,35.64437604
2.527,36.27670262
2.528,36.57983612
2.529,36.55101365
2.53,36.37422581
2.531,36.26075595
2.532,36.43054746
2.533,36.81531285
2.534,37.21549726
2.535,37.40440467
2.536,37.29764386
2.537,36.6848949
2.538,35.89742789
2.539,35.33309815
2.54,35.02497794
2.541,34.88131614
2.542,34.90239968
2.543,35.0725532
2.544,35.36032725
2.545,35.71392921
2.546,36.02539184
2.547,36.13376074
2.548,35.97224249
2.549,35.5933414
2.55,35.36627588
2.551,35.63584015
2.552,36.73033685
2.553,38.71168764
2.554,40.90661155
2.555,42.84204412
2.556,44.18608228
2.557,44.86410386
2.558,45.38387709
2.559,45.96438303
2.56,46.59464758
2.561,47.20106459
2.562,47.36041599
2.563,46.86312032
2.564,45.79024912
2.565,44.20908848
2.566,42.7754231
2.567,41.57882375
2.568,40.61559389
2.569,39.82780268
2.57,39.00852311
2.571,38.23808058
2.572,37.77702064
2.573,37.79912933
2.574,38.18413003
2.575,38.65881158
2.576,39.0224954
2.577,38.96661806
2.578,38.36710494
2.579,37.59978239
2.58,36.86707487
2.581,36.34987242
2.582,36.11806031
2.583,35.95038597
2.584,35.52626451
2.585,34.9623947
2.586,34.34118915
2.587,33.9524154
2.588,33.93911057
2.589,34.42744265
2.59,35.44847831
2.591,36.78740386
2.592,38.35557008
2.593,39.93880967
2.594,41.49629547
2.595,42.9882746
2.596,44.28308549
2.597,45.25936339
2.598,45.7958088
2.599,45.77490252
2.6,45.25829994
2.601,44.21493276
2.602,42.77537794
2.603,40.96931519
2.604,39.14202835
2.605,37.51272761
2.606,36.2025691
2.607,35.31360276
2.608,34.56378577
2.609,33.89436486
2.61,33.29548081
2.611,32.83584309
2.612,32.78320432
2.613,33.16824018
2.614,33.77637898
2.615,34.46489915
2.616,34.89291436
2.617,35.12527316
2.618,35.3826318
2.619,35.80840505
2.62,36.60927714
2.621,37.6796229
2.622,38.92123653
2.623,40.06755385
2.624,40.77222386
2.625,41.23961944
2.626,41.61198758
2.627,42.02981987
2.628,42.61390845
2.629,43.08909476
2.63,43.18361557
2.631,42.86700016
2.632,42.08060787
2.633,41.1579384
2.634,40.33931439
2.635,39.89686783
2.636,39.91960033
2.637,40.12878852
2.638,40.37864641
2.639,40.25122664
2.64,39.70711296
2.641,39.07445738
2.642,38.46547601
2.643,38.11563344
2.644,37.94180091
2.645,37.7055526
2.646,37.38128172
2.647,37.07555424
2.648,36.86399311
2.649,36.74440972
2.65,36.38765062
2.651,36.19444253
2.652,36.03582286
2.653,35.76910404
2.654,35.93843725
2.655,36.29983325
2.656,36.85237422
2.657,37.62133313
2.658,38.41591809
2.659,38.92990382
2.66,39.14021159
2.661,39.44299607
2.662,39.93825567
2.663,40.33206094
2.664,41.00059635
2.665,41.66476202
2.666,42.12461129
2.667,42.55077152
2.668,42.88994697
2.669,43.13785503
2.67,43.33179186
2.671,43.45175888
2.672,43.39589923
2.673,43.12113087
2.674,42.81362028
2.675,42.51637802
2.676,42.2900468
2.677,42.21717653
2.678,42.16984827
2.679,42.08577942
2.68,41.96830304
2.681,41.81820786
2.682,41.57429886
2.683,41.16564539
2.684,40.84974447
2.685,40.72586329
2.686,40.76563051
2.687,40.90694879
2.688,40.73447303
2.689,40.19861877
2.69,39.51136178
2.691,38.73753112
2.692,38.07419936
2.693,37.66567854
2.694,37.65155978
2.695,37.93536951
2.696,38.10791556
2.697,38.08474082
2.698,37.63506484
2.699,36.88906377
2.7,36.35903706
2.701,36.04581054
2.702,35.91781138
2.703,35.85554899
2.704,35.81728221
2.705,35.87184675
2.706,36.17163239
2.707,36.69605928
2.708,37.15816427
2.709,37.47445095
2.71,37.54212297
2.711,37.18049666
2.712,36.48082344
2.713,35.91843047
2.714,35.50108595
2.715,35.10701939
2.716,34.51092478
2.717,33.60204398
2.718,32.32284714
2.719,31.08707264
2.72,30.34928149
2.721,30.37238734
2.722,31.00338206
