Depth_mbrt,GR_gAPI
475,49.32314953
475.2,38.90117981
475.4,33.72689111
475.528169,30.3030303
475.6,34.78176626
475.8,38.40356858
476,39.89278223
476.2,45.74262229
476.4,47.71752095
476.6,45.81073912
476.8,42.92079187
477,35.26583617
477.2,28.24414744
477.4,31.96521338
477.6,35.25987375
477.8,44.93028729
478,39.78216508
478.2,32.24858258
478.4,34.4933903
478.6,34.34801602
478.8,32.24937108
479,29.49301369
479.2,36.19909244
479.4,42.1753076
479.4894366,46.96969697
479.6,42.91809943
479.8,34.99749516
480,29.28325696
480.2,33.40223633
480.4,40.2819801
480.6,39.69325395
480.8,34.37113765
481,32.27055711
481.2,29.53860697
481.4,36.26052195
481.6,44.45337591
481.8,39.30887022
482,28.64293119
482.2,38.64927675
482.4,56.83609865
482.6,57.33774465
482.8,50.02365999
483,46.44814092
483.2,37.0777657
483.4,33.23967961
483.6,37.38134757
483.8,42.85206087
484,41.26442963
484.2,36.82990466
484.375,31.81818182
484.4,35.18566328
484.6,39.58122638
484.8,41.03449381
485,33.98645106
485.2,32.50374153
485.4,34.83876974
485.6,29.99420981
485.8,31.64659632
486,39.59832349
486.2,44.84797728
486.4,50.74874045
486.6,53.12525577
486.8,46.70376108
487,41.12683873
487.2,36.96829984
487.4,31.02174939
487.6,28.55768171
487.8,34.28153405
488,37.20454477
488.2,33.28189872
488.4,30.87836923
488.6,35.45230579
488.8,37.59707869
489,36.62750505
489.2,40.75544647
489.4,45.24694074
489.6,46.08316522
489.8,41.24445152
490,41.48440953
490.2,44.41099768
490.4,40.61688751
490.6,34.12992595
490.8,36.56906361
491,43.00001693
491.2,44.94118442
491.4,36.86626085
491.6,32.9933463
491.8,32.77091532
492,32.95849992
492.2,40.54421462
492.2975352,43.93939394
492.4,39.23195553
492.6,35.97869971
492.693662,28.78787879
492.8,34.80164395
493,38.44539097
493.2,43.93781003
493.4,44.77797899
493.6,45.14778843
493.8,39.3283627
494,40.65516775
494.2,43.56204823
494.4,46.82912544
494.6,45.82589534
494.8,40.60125226
495,35.7557022
495.2,40.71452545
495.4,42.8857474
495.6,45.38376881
495.8,40.00962552
496,38.80209841
496.2,38.07240722
496.4,34.1600135
496.6,33.846649
496.8,40.27312331
497,43.8031277
497.2,38.49355055
497.4,27.83313227
497.6,30.66679767
497.8,34.01882188
498,41.24603229
498.2,50.40406523
498.4,41.09935754
498.6,24.07358073
498.6355634,18.18181818
498.8,24.57841417
499,31.36258036
499.2,33.39593084
499.4,33.01088788
499.6,36.46678749
499.8,37.84639757
500,30.70965248
