"Hole"	"Core"	"Section"	"Offset [cm]"	"m CSF-A"	"K [wt.%]"	"U [mg/kg]"	"Th [mg/kg]"	"GRA bulk density [g/cm^3]"
"U1447A"	1	1	1	0.01	0.76393	1.4818	1.9961	1.2023
"U1447A"	1	1	10	0.1	0.91852	1.3645	2.7579	1.2207
"U1447A"	1	1	21	0.21	0.84715	1.2432	2.7214	1.2631
"U1447A"	1	1	30	0.3	0.96253	1.6073	2.5856	1.3059
"U1447A"	1	1	41	0.41	0.70233	1.065	2.505	1.3406
"U1447A"	1	1	50	0.5	0.68907	1.7657	2.6304	1.3474
"U1447A"	1	1	61	0.61	0.85963	1.635	2.6647	1.3447
"U1447A"	1	1	70	0.7	0.81251	1.8511	1.6874	1.351
"U1447A"	1	1	81	0.81	0.76663	1.5095	2.9915	1.3737
"U1447A"	1	1	90	0.9	0.86864	1.4415	2.8673	1.3808
"U1447A"	1	1	101	1.01	0.93705	1.4239	2.8004	1.3749
"U1447A"	1	1	110	1.1	0.8803	1.4557	1.3826	1.3821
"U1447A"	1	1	121	1.21	0.93839	1.3393	1.8782	1.391
"U1447A"	1	1	130	1.3	0.95415	1.249	2.1741	1.3901
"U1447A"	1	1	141	1.41	0.95724	1.5863	1.5806	1.3945
"U1447A"	1	1	150	1.5	0.6521	1.5703	2.2916	1.3984
"U1447A"	1	2	1	1.51	0.90473	1.9971	1.5101	1.4206
"U1447A"	1	2	10	1.6	0.99148	1.1184	3.1795	1.4059
"U1447A"	1	2	21	1.71	0.97549	1.8588	2.2517	1.4004
"U1447A"	1	2	30	1.8	1.1038	1.1438	3.3211	1.4017
"U1447A"	1	2	41	1.91	1.0885	1.4666	2.9153	1.3884
"U1447A"	1	2	50	2	1.0359	1.545	2.5638	1.3824
"U1447A"	1	2	61	2.11	1.0007	2.0385	2.6671	1.3905
"U1447A"	1	2	70	2.2	1.2616	2.0362	2.5343	1.3948
"U1447A"	1	2	81	2.31	0.99736	1.4523	2.3212	1.401
"U1447A"	1	2	90	2.4	0.93484	1.6665	2.8201	1.404
"U1447A"	1	2	101	2.51	1.0146	1.4839	3.6357	1.4063
"U1447A"	1	2	110	2.6	1.053	1.4298	2.3787	1.4227
"U1447A"	1	3	1	2.71	1.0838	1.3444	2.0238	1.4373
"U1447A"	1	3	10	2.8	0.9613	1.5171	2.563	1.4365
"U1447A"	1	3	21	2.91	1.1664	1.3871	2.3046	1.4299
"U1447A"	1	3	30	3	1.138	1.4204	2.7788	1.4197
"U1447A"	1	3	41	3.11	1.1245	1.3045	2.0339	1.4172
"U1447A"	1	3	50	3.2	0.86807	1.9155	3.8618	1.429
"U1447A"	2	1	1	3.31	0.48638	1.2347	1.2081	1.5651
"U1447A"	2	1	10	3.4	0.48028	1.2624	1.037	1.7264
"U1447A"	2	1	21	3.51	0.49016	1.3996	0.74989	1.7418
"U1447A"	2	1	30	3.6	0.50468	1.6012	1.3819	1.7237
"U1447A"	2	1	41	3.71	0.50712	2.0496	1.7464	1.6861
"U1447A"	2	1	50	3.8	0.44155	1.8062	0.96275	1.6765
"U1447A"	2	1	61	3.91	0.5126	1.3976	0.87113	1.664
"U1447A"	2	1	70	4	0.47197	1.921	1.1979	1.5888
"U1447A"	2	1	81	4.11	0.48714	1.7309	1.2988	1.6239
"U1447A"	2	1	90	4.2	0.56549	1.4735	2.2897	1.6668
"U1447A"	2	1	101	4.31	0.99034	1.6201	2.0869	1.5355
"U1447A"	2	1	110	4.4	1.3612	1.0262	2.8484	1.4871
"U1447A"	2	1	121	4.51	1.1872	1.6462	3.6145	1.4729
"U1447A"	2	1	130	4.6	1.1508	1.42	2.8362	1.4064
"U1447A"	2	2	1	4.67	1.1907	1.2436	2.289	1.4932
"U1447A"	2	2	10	4.76	1.3035	1.5591	4.0643	1.4877
"U1447A"	2	2	21	4.87	1.3209	1.0315	3.2774	1.4824
"U1447A"	2	2	30	4.96	1.4769	1.4709	3.7135	1.4832
"U1447A"	2	2	41	5.07	1.2421	1.1576	3.4831	1.4787
"U1447A"	2	2	50	5.16	1.2601	1.6124	4.1773	1.4756
"U1447A"	2	2	61	5.27	1.231	1.5461	3.5311	1.4768
"U1447A"	2	2	70	5.36	1.2754	1.3982	3.2248	1.4853
"U1447A"	2	2	81	5.47	1.3325	1.6759	4.3819	1.492
"U1447A"	2	2	90	5.56	1.3178	1.3088	3.8049	1.4911
"U1447A"	2	2	101	5.67	1.3136	1.3986	3.527	1.4945
"U1447A"	2	2	110	5.76	1.3482	1.2917	4.1456	1.4892
"U1447A"	2	2	121	5.87	1.3579	0.99739	3.2458	1.4812
"U1447A"	2	2	130	5.96	1.3779	1.2386	4.666	1.471
"U1447A"	2	2	141	6.07	1.2564	1.0198	3.607	1.4658
"U1447A"	2	2	150	6.16	0.9198	0.63508	3.5005	1.4655
"U1447A"	2	3	1	6.17	1.1584	1.1888	3.4695	1.4987
"U1447A"	2	3	10	6.26	1.4087	1.2535	3.4512	1.4779
"U1447A"	2	3	21	6.37	1.1757	1.1023	4.4891	1.4621
"U1447A"	2	3	30	6.46	1.2707	1.12	4.5247	1.4685
"U1447A"	2	3	41	6.57	1.1321	1.6565	4.7099	1.4741
"U1447A"	2	3	50	6.66	1.1866	1.4188	2.68	1.4768
"U1447A"	2	3	61	6.77	1.2831	1.8604	4.2073	1.4781
"U1447A"	2	3	70	6.86	1.2436	1.4578	3.7383	1.4827
"U1447A"	2	3	81	6.97	1.3066	1.6169	4.1434	1.4744
"U1447A"	2	3	90	7.06	1.072	1.4173	3.7904	1.4591
"U1447A"	2	3	101	7.17	1.5283	1.6715	4.3126	1.4619
"U1447A"	2	3	110	7.26	1.3949	1.6254	3.266	1.4552
"U1447A"	2	3	121	7.37	1.3097	1.2292	3.9892	1.4459
"U1447A"	2	3	130	7.46	1.3023	1.6667	3.5905	1.4531
"U1447A"	2	3	141	7.57	1.1662	1.2689	4.4827	1.4631
