DEPTH_WMSF,HSGR
0.1524,0.4013
0.3048,1.147
0.4572,1.2588
0.6096,1.7356
0.762,2.5245
0.9144,3.5656
1.0668,4.0411
1.2192,3.6141
1.3716,3.4205
1.524,3.6088
1.6764,4.3246
1.8288,4.6629
1.9812,4.8238
2.1336,5.4753
2.286,5.5233
2.4384,5.3211
2.5908,4.3847
2.7432,4.4522
2.8956,4.6749
3.048,4.536
3.2004,3.2926
3.3528,3.0274
3.5052,2.5918
3.6576,3.2619
3.81,3.0303
3.9624,4.0111
4.1148,4.7127
4.2672,4.8902
4.4196,4.7409
4.572,4.5766
4.7244,4.9028
4.8768,5.9591
5.0292,6.7206
5.1816,7.5406
5.334,6.714
5.4864,6.7831
5.6388,6.7488
5.7912,6.6207
5.9436,6.0962
6.096,5.0918
6.2484,4.6166
6.4008,4.4078
6.5532,4.6944
6.7056,4.9483
6.858,5.1576
7.0104,5.0632
7.1628,5.1841
7.3152,5.1342
7.4676,5.2026
7.62,5.515
7.7724,6.4996
7.9248,8.4854
8.0772,8.5544
8.2296,7.8681
8.382,5.834
8.5344,5.2189
8.6868,5.0964
8.8392,5.2341
8.9916,5.7882
9.144,5.3452
9.2964,5.513
9.4488,5.2026
9.6012,5.5342
9.7536,5.0643
9.906,5.2749
10.0584,4.6337
10.2108,4.0804
10.3632,3.9226
10.5156,4.1808
10.668,4.6198
10.8204,3.7293
10.9728,3.6271
11.1252,4.2296
11.2776,5.0534
11.43,4.8373
11.5824,4.9293
11.7348,5.0356
11.8872,5.1849
12.0396,4.5986
12.192,4.0197
12.3444,4.0384
12.4968,3.6222
12.6492,3.3857
12.8016,3.4189
12.954,2.5872
13.1064,2.4631
13.2588,2.1276
13.4112,3.166
13.5636,3.2826
13.716,2.7448
13.8684,2.4384
14.0208,2.7855
14.1732,3.2918
14.3256,2.9328
14.478,2.5712
14.6304,2.4197
14.7828,2.7347
14.9352,2.4667
15.0876,2.9842
15.24,3.3349
15.3924,3.5007
15.5448,3.7018
15.6972,3.7682
15.8496,3.6146
16.002,3.207
16.1544,3.3875
16.3068,3.7541
16.4592,3.2766
16.6116,2.9736
16.764,3.3023
16.9164,3.1664
17.0688,2.9222
17.2212,2.6547
17.3736,2.5354
17.526,2.0614
17.6784,1.4418
17.8308,1.758
17.9832,2.9169
