DEPT,GR
1.08,17.12836381
1.18,15.07123429
1.28,12.93566667
1.38,12.03233333
1.48,11.99657143
1.58,11.65657143
1.68,12.30342857
1.78,12.5767619
1.88,12.39280952
1.98,13.20280952
2.08,13.13309524
2.18,12.46642857
2.28,13.44885714
2.38,12.79552381
2.48,12.38658857
2.58,11.43503429
2.58,13.08809714
2.68,13.06483429
2.78,13.64566667
2.88,13.959
2.98,13.92657143
3.08,14.65990476
3.18,14.60009524
3.28,14.59342857
3.38,14.53614286
3.48,15.52947619
3.58,15.68309524
3.68,15.5097619
3.78,15.16885714
3.88,15.51885714
3.98,16.39178857
4.08,15.92583429
4.08,18.18929714
4.18,17.07383429
4.28,17.50566667
4.38,19.07233333
4.48,20.63990476
4.58,21.05990476
4.68,21.23342857
4.78,22.19342857
4.88,21.51280952
4.98,21.79280952
5.08,21.90309524
5.18,22.74642857
5.28,22.07552381
5.38,21.79219048
5.48,21.35078857
5.58,20.73636762
5.58,22.63649714
5.68,21.39443429
5.78,21.40566667
5.88,21.619
5.98,23.33657143
6.08,26.33990476
6.18,27.0667619
6.28,28.38342857
6.38,28.42947619
6.48,27.60947619
6.58,28.16642857
6.68,28.69309524
6.78,27.18219048
6.88,25.54885714
6.98,24.40978857
7.08,23.70843429
7.08,25.89923048
7.18,26.20903429
7.28,27.86566667
7.38,28.47233333
7.48,26.9132381
7.58,26.88990476
7.68,26.67342857
7.78,26.5167619
7.88,27.54947619
7.98,27.88947619
8.08,26.92642857
8.18,27.36642857
8.28,27.16552381
8.38,26.80219048
8.48,25.78538857
8.58,25.21990095
8.58,25.45596381
8.68,23.01703429
8.78,23.76233333
8.88,26.27566667
8.98,26.8732381
9.08,25.7424
9.18,25.88775429
9.4,25.88775429
9.5,23.00183429
9.6,23.20233333
9.7,23.36233333
9.8,23.03990476
9.9,23.28657143
10,22.37342857
10.1,22.69009524
10.2,21.58280952
10.3,22.04947619
10.4,22.62309524
10.5,22.31642857
10.6,23.11885714
10.7,22.05552381
10.8,21.61678857
10.9,21.63016762
10.9,22.71643048
11,21.29943429
11.1,22.929
11.2,22.31233333
11.3,20.55990476
11.4,20.1532381
11.5,19.27009524
11.6,19.54009524
11.7,19.83614286
11.8,20.42280952
11.9,21.3397619
12,20.62309524
12.1,20.33885714
12.2,21.29885714
12.3,21.15318857
12.4,20.85263429
12.4,22.46209714
12.5,21.22723429
12.6,21.57233333
12.7,20.829
12.8,21.20990476
12.9,22.3532381
13,22.5867619
13.1,23.24342857
13.2,23.42280952
13.3,22.62280952
13.4,23.17309524
13.5,23.7497619
13.6,23.44885714
13.7,23.96219048
13.8,24.31098857
13.9,23.33783429
13.9,25.35423048
14,24.31283429
14.1,22.74233333
14.2,22.09566667
14.3,23.2432381
14.4,23.20657143
14.5,22.3167619
14.6,22.49342857
14.7,22.75280952
14.8,21.80280952
14.9,22.21642857
15,22.40642857
15.1,24.09552381
15.2,24.32552381
15.3,24.53898857
15.4,22.49490095
15.4,23.49396381
15.5,21.63383429
15.6,22.549
15.7,23.21566667
15.8,23.20990476
15.9,22.5532381
16,21.3067619
16.1,21.65009524
16.2,21.97280952
16.3,22.80280952
16.4,24.47642857
16.5,23.53309524
16.6,24.51219048
16.7,24.91219048
16.8,25.13938857
16.9,23.85376762
16.9,24.22789714
17,23.06643429
17.1,21.58233333
17.2,22.25566667
17.3,21.44990476
17.4,21.28990476
17.5,21.10009524
17.6,21.32342857
17.7,21.77614286
17.8,21.94947619
17.9,22.81642857
18,24.41642857
18.1,24.97219048
18.2,25.23874571
18.3,25.18865143
18.4,28.34809714
18.5,27.15903429
18.6,27.239
18.7,28.449
18.8,29.03657143
18.9,22.56496
18.9,28.85749714
19,20.20503429
19,25.40870095
19.1,19.72233333
19.2,20.95233333
19.3,21.59990476
19.4,23.02990476
19.5,24.16342857
19.6,25.07342857
19.7,25.18947619
19.8,25.30947619
19.9,24.5797619
20,24.34642857
20.1,23.42552381
20.2,23.16552381
20.3,22.21338857
20.4,19.63910095
20.4,23.39223048
20.5,21.53883429
20.6,21.81566667
20.7,22.38566667
20.8,23.38990476
20.9,24.3432381
21,25.70009524
21.1,24.13342857
21.2,21.96947619
21.3,21.59947619
21.4,22.64642857
21.5,24.41309524
21.6,24.02219048
21.7,23.01552381
21.8,22.16398857
21.9,20.77996762
21.9,23.50123048
22,21.32223429
22.1,21.84566667
22.2,22.09566667
22.3,23.4732381
22.4,24.3132381
22.5,24.53342857
22.6,24.7767619
22.7,25.02614286
22.8,25.24947619
22.9,25.11309524
23,25.5397619
23.1,24.85552381
23.2,24.32219048
23.3,24.26158857
23.4,24.08630095
23.4,28.08649714
23.5,27.06783429
23.6,27.24566667
23.7,29.709
23.8,30.9932381
23.9,30.76657143
24,28.76009524
24.1,27.4467619
24.2,27.49614286
24.3,26.80614286
24.4,27.15309524
24.5,26.94642857
24.6,25.69219048
24.7,25.51219048
24.8,25.77398857
24.9,25.00916762
24.9,25.79749714
25,25.12223429
25.1,25.169
25.2,24.65566667
25.3,25.68990476
25.4,25.73657143
25.5,25.84009524
25.6,26.09342857
25.7,24.98947619
25.8,24.14947619
25.9,22.50642857
26,21.69309524
26.1,21.95885714
26.2,21.83552381
26.3,22.14498857
26.4,23.51576381
26.4,23.91190095
26.5,22.42803429
26.6,22.63233333
26.7,24.27233333
26.8,24.34990476
26.9,25.00990476
27,24.52342857
27.1,24.0467619
27.2,23.80614286
27.3,23.69614286
27.4,23.5597619
27.5,22.29642857
27.6,22.22885714
27.7,22.58552381
27.8,22.11078857
27.9,21.29590095
27.9,25.07809714
28,23.78463429
28.1,22.00566667
28.2,20.01566667
28.3,20.6532381
28.4,22.61183524
28.4,22.61183524
28.5,18.61283429
28.5,21.00424381
28.6,21.429
28.7,23.84233333
28.8,24.0632381
28.9,23.89990476
29,23.32009524
29.1,23.36009524
29.2,23.00280952
29.3,22.90614286
29.4,22.70309524
29.5,22.1097619
29.6,21.89219048
29.7,19.97885714
29.8,20.86438857
29.9,21.17236762
29.9,23.14516381
30,22.24563429
30.1,22.449
30.2,22.04233333
30.3,21.9332381
30.4,21.2832381
30.5,22.46342857
30.6,23.74009524
30.7,25.37280952
30.8,25.82614286
30.9,25.93309524
31,25.96309524
31.1,25.83885714
31.2,25.91552381
31.3,26.34758381
31.4,26.43752381
31.4,31.47276381
31.5,28.18503429
31.6,27.62233333
31.7,26.91566667
31.8,26.8332381
31.9,25.09990476
32,24.3767619
32.1,24.62342857
32.2,24.60280952
32.3,25.16614286
32.4,24.82642857
32.5,25.0297619
32.6,24.40885714
32.7,23.45552381
32.8,22.60478857
32.9,20.84749253
32.9,21.96796381
33,22.12403429
33.1,23.28233333
33.2,24.79233333
33.3,25.5732381
33.4,25.4132381
33.5,25.03009524
33.6,24.63009524
33.7,25.76280952
33.8,26.38280952
33.9,27.14309524
34,26.3297619
34.1,26.26885714
34.2,23.67885714
34.3,21.12278857
34.4,21.65923429
34.4,21.84443048
34.5,21.24623429
34.6,22.209
34.7,22.97233333
34.8,22.86990476
34.9,22.65657143
35,23.17009524
35.1,24.69342857
35.2,25.45947619
35.3,24.42280952
