"Hole"	"Core"	"Section"	"Offset [cm]"	"m CSF-A"	"K [wt.%]"	"U [mg/kg]"	"Th [mg/kg]"	"GRA bulk density [g/cm^3]"
"U1501C"	1	1	10	0.1	1.5774	2.3431	3.5729	1.3456
"U1501C"	1	1	21	0.21	1.4225	1.0843	0.78658	1.4025
"U1501C"	1	1	30	0.3	1.237	0.92466	0.78774	1.4029
"U1501C"	1	1	41	0.41	1.2293	1.7858	3.5435	1.4037
"U1501C"	1	1	50	0.5	1.192	1.714	4.0536	1.3855
"U1501C"	1	1	61	0.61	1.3869	0.55138	0.5791	1.347
"U1501C"	1	1	70	0.7	1.2958	0.61441	0.77265	1.3852
"U1501C"	1	1	81	0.81	1.1889	0.75608	0.63322	1.3975
"U1501C"	1	1	90	0.9	1.0343	0.64046	0.56231	1.3797
"U1501C"	1	1	101	1.01	1.2916	1.102	2.3948	1.3631
"U1501C"	1	1	110	1.1	1.3008	0.89137	1.6563	1.3448
"U1501C"	1	1	121	1.21	1.274	1.4083	3.6867	1.3273
"U1501C"	1	1	130	1.3	1.1334	1.4313	4.0041	1.3237
"U1501C"	1	1	141	1.41	1.2351	1.6197	3.7705	1.3137
"U1501C"	1	1	150	1.5	0.97458	1.4531	3.4477	1.3196
"U1501C"	1	2	1	1.51	1.212	0.53055	2.5499	1.3392
"U1501C"	1	2	10	1.6	1.306	1.186	2.6479	1.3395
"U1501C"	1	2	21	1.71	1.0733	0.64202	0.45242	1.3391
"U1501C"	1	2	30	1.8	1.0387	0.67285	0.82183	1.3447
"U1501C"	1	2	41	1.91	1.2121	1.5078	4.6391	1.3396
"U1501C"	1	2	50	2	1.266	1.6983	5.1168	1.3267
"U1501C"	1	2	61	2.11	1.1693	0.71579	0.30254	1.3338
"U1501C"	1	2	70	2.2	1.1758	0.5747	0.99096	1.3333
"U1501C"	1	2	81	2.31	1.0575	0.58562	1.0865	1.3404
"U1501C"	1	2	90	2.4	1.0425	0.95177	0.25597	1.3565
"U1501C"	1	2	101	2.51	1.4001	0.87576	2.2542	1.3621
"U1501C"	1	2	110	2.6	1.4445	0.94478	1.9669	1.3623
"U1501C"	1	2	121	2.71	1.4059	1.7034	4.1102	1.3741
"U1501C"	1	2	130	2.8	1.4203	1.5619	3.2986	1.3632
"U1501C"	1	2	141	2.91	1.5078	1.696	5.2055	1.3245
"U1501C"	1	3	1	3.01	1.3151	1.3482	2.6637	1.282
"U1501C"	1	3	10	3.1	1.4205	1.1001	2.7378	1.2955
"U1501C"	1	3	21	3.21	1.0267	0.53305	0.66339	1.3416
"U1501C"	1	3	30	3.3	1.094	0.56111	0.44863	1.3548
"U1501C"	1	3	41	3.41	1.2038	1.8604	4.3243	1.3256
"U1501C"	1	3	50	3.5	1.2763	1.4391	3.703	1.3119
"U1501C"	1	3	61	3.61	1.287	0.58479	1.2354	1.3426
"U1501C"	1	3	70	3.7	1.1908	0.57078	0.89072	1.3425
"U1501C"	1	3	81	3.81	1.0631	0.69627	0.97272	1.3504
"U1501C"	1	3	90	3.9	1.1248	0.55752	0.71949	1.3761
"U1501C"	1	3	101	4.01	1.371	0.91045	2.1735	1.383
"U1501C"	1	3	110	4.1	1.3447	0.82854	2.2936	1.3935
"U1501C"	1	3	121	4.21	1.4123	1.7972	4.8752	1.3977
"U1501C"	1	3	130	4.3	1.4547	1.4286	3.1463	1.4011
"U1501C"	1	3	141	4.41	1.3568	1.2608	4.5778	1.4089
"U1501C"	1	3	150	4.5	1.3312	1.3847	3.6171	1.4191
"U1501C"	1	5	1	6.01	1.7703	1.0579	3.3077	1.4557
"U1501C"	1	5	10	6.1	1.8224	1.2973	4.0528	1.4586
"U1501C"	1	5	21	6.21	1.3171	1.0977	0.90116	1.4606
"U1501C"	1	5	30	6.3	1.4517	0.90257	0.65956	1.4601
"U1501C"	1	5	41	6.41	1.7169	1.5536	6.301	1.4568
"U1501C"	1	5	50	6.5	1.6913	1.6057	5.5715	1.4411
"U1501C"	1	5	61	6.61	1.6496	0.64893	1.2838	1.4386
"U1501C"	1	5	70	6.7	1.7413	0.84043	1.1342	1.4416
"U1501C"	1	5	81	6.81	1.4708	0.96242	1.0605	1.4406
"U1501C"	1	5	90	6.9	1.3594	0.64936	1.4706	1.4504
"U1501C"	1	5	101	7.01	1.754	1.1285	2.0308	1.4484
"U1501C"	1	5	110	7.1	1.6604	1.046	2.7994	1.4416
"U1501C"	1	5	121	7.21	1.7343	2.0918	4.9946	1.4467
"U1501C"	1	5	130	7.3	1.733	1.5078	3.6775	1.4701
"U1501C"	1	5	141	7.41	1.6234	1.8147	4.3815	1.4791
"U1501C"	1	6	1	7.51	1.3714	1.2397	2.2132	1.4855
"U1501C"	1	6	10	7.6	1.5679	1.2698	4.6056	1.4717
"U1501C"	1	6	21	7.71	1.2474	0.77266	1.0474	1.4602
"U1501C"	1	6	30	7.8	1.3172	0.84473	0.70716	1.4623
"U1501C"	1	6	41	7.91	1.5875	1.4187	4.7545	1.4666
"U1501C"	1	6	50	8	1.6631	1.9663	5.1491	1.4656
"U1501C"	1	6	61	8.11	1.6061	0.88624	0.87807	1.4601
"U1501C"	1	6	70	8.2	1.6028	0.7847	0.64583	1.4629
"U1501C"	1	6	81	8.31	1.4017	0.8105	0.89279	1.4712
"U1501C"	1	6	90	8.4	1.1923	0.6525	1.3113	1.4626
"U1501C"	1	6	101	8.51	1.7614	1.0834	3.3972	1.4275
"U1501C"	1	7	1	8.52	1.5519	1.0376	2.9742	1.4477
"U1501C"	1	7	10	8.61	1.6308	1.211	3.2685	1.4468
"U1501C"	1	7	21	8.72	1.2104	0.66059	1.0491	1.4578
"U1501C"	1	7	30	8.81	1.2585	0.7598	0.46413	1.4626
"U1501C"	1	7	41	8.92	1.4733	1.5088	4.9106	1.4482
"U1501C"	1	7	50	9.01	1.4086	1.8936	4.2726	1.3855
"U1501C"	2	1	1	9.31	1.4936	1.6283	4.2472	1.2235
"U1501C"	2	1	10	9.4	1.6752	1.3224	4.0505	1.3426
"U1501C"	2	1	21	9.51	1.2062	0.64731	0.75775	1.4558
"U1501C"	2	1	30	9.6	1.2445	0.6826	1.1332	1.4768
"U1501C"	2	1	41	9.71	1.6351	1.4119	5.714	1.4737
"U1501C"	2	1	50	9.8	1.5482	1.6193	4.5894	1.4791
"U1501C"	2	1	61	9.91	1.5724	0.78515	0.90496	1.486
"U1501C"	2	1	70	10	1.631	0.70127	0.55141	1.4858
"U1501C"	2	1	81	10.11	1.3638	0.58727	1.8669	1.4688
"U1501C"	2	1	90	10.2	1.5103	0.71308	1.1699	1.4568
"U1501C"	2	1	101	10.31	1.6684	1.2531	2.4519	1.4631
"U1501C"	2	1	110	10.4	1.6995	1.2945	2.3907	1.472
"U1501C"	2	1	121	10.51	1.7473	1.7499	4.2442	1.46
"U1501C"	2	1	130	10.6	1.7714	1.4431	3.285	1.4464
"U1501C"	2	1	141	10.71	1.6746	1.6907	4.8479	1.4504
"U1501C"	2	1	150	10.8	1.3115	1.5019	4.0977	1.4662
"U1501C"	2	2	1	10.81	1.3634	1.1345	3.5724	1.4903
"U1501C"	2	2	10	10.9	1.6014	1.1543	3.0407	1.4775
"U1501C"	2	2	21	11.01	1.2008	0.66406	0.50492	1.4813
"U1501C"	2	2	30	11.1	1.177	0.66638	1.4171	1.4817
"U1501C"	2	2	41	11.21	1.3599	1.4579	4.4183	1.469
"U1501C"	2	2	50	11.3	1.3918	1.5103	3.6791	1.4516
"U1501C"	2	2	61	11.41	1.4275	0.87251	0.85001	1.4345
"U1501C"	2	2	70	11.5	1.4079	0.56618	0.44179	1.4283
"U1501C"	2	2	81	11.61	1.1043	0.77225	0.77492	1.4185
"U1501C"	2	2	90	11.7	1.1704	0.62461	1.0028	1.4147
"U1501C"	2	2	101	11.81	1.5398	1.1512	2.117	1.4199
"U1501C"	2	2	110	11.9	1.508	1.2124	1.9244	1.4259
"U1501C"	2	2	121	12.01	1.5831	1.7511	4.9415	1.4345
"U1501C"	2	2	130	12.1	1.6866	1.6892	4.4614	1.4295
"U1501C"	2	2	141	12.21	1.3788	1.6179	5.5807	1.4322
"U1501C"	2	3	1	12.29	1.4674	1.2604	4.0756	1.4312
"U1501C"	2	3	10	12.38	1.6135	1.2432	4.8566	1.4281
"U1501C"	2	3	21	12.49	1.1886	0.74718	0.97215	1.4271
"U1501C"	2	3	30	12.58	1.2399	0.7485	1.5185	1.4295
"U1501C"	2	3	41	12.69	1.4865	1.715	5.8562	1.4379
"U1501C"	2	3	50	12.78	1.5916	1.6488	5.1916	1.4403
"U1501C"	2	3	61	12.89	1.6049	1.0846	1.016	1.4472
"U1501C"	2	3	70	12.98	1.4065	0.74797	1.301	1.4497
"U1501C"	2	3	81	13.09	1.2004	0.94387	1.0055	1.4484
"U1501C"	2	3	90	13.18	1.3202	0.62002	0.97407	1.4564
"U1501C"	2	3	101	13.29	1.6566	1.0729	2.2774	1.4617
"U1501C"	2	3	110	13.38	1.642	0.89493	2.803	1.4629
"U1501C"	2	3	121	13.49	1.805	1.5965	4.0863	1.4661
"U1501C"	2	3	130	13.58	1.606	1.6906	5.1707	1.4628
"U1501C"	2	3	141	13.69	1.6003	1.7688	6.1214	1.4475
"U1501C"	2	3	150	13.78	1.411	1.4238	4.5563	1.4467
"U1501C"	2	4	1	13.79	1.3782	1.1388	4.0184	1.4516
"U1501C"	2	4	10	13.88	1.6951	1.3629	3.7225	1.4398
"U1501C"	2	4	21	13.99	1.2813	0.65777	0.91877	1.4326
"U1501C"	2	4	30	14.08	1.2829	1.0529	0.87329	1.4282
"U1501C"	2	4	41	14.19	1.5501	1.7876	4.942	1.4249
"U1501C"	2	4	50	14.28	1.5063	1.7024	6.2384	1.4307
"U1501C"	2	4	61	14.39	1.5683	0.92588	1.6708	1.4434
"U1501C"	2	4	70	14.48	1.5331	0.76013	0.77904	1.4544
"U1501C"	2	4	81	14.59	1.3138	0.69701	0.99733	1.4603
"U1501C"	2	4	90	14.68	1.2533	0.89481	1.2613	1.4645
